Date,Time,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status
1/1/2004,1:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,4,V ugm-3 (INDIC.GRAV)
1/1/2004,2:00:00,66,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,0,V ugm-3,0.1,V mgm-3,3,V ugm-3 (INDIC.GRAV)
1/1/2004,3:00:00,66,V ugm-3,0,V ugm-3,13,V ugm-3,13,V ugm-3,0,V ugm-3,0.1,V mgm-3,10,V ugm-3 (INDIC.GRAV)
1/1/2004,4:00:00,58,V ugm-3,1,V ugm-3,11,V ugm-3,13,V ugm-3,0,V ugm-3,0.2,V mgm-3,8,V ugm-3 (INDIC.GRAV)
1/1/2004,5:00:00,58,V ugm-3,1,V ugm-3,13,V ugm-3,15,V ugm-3,0,V ugm-3,0.1,V mgm-3,7,V ugm-3 (INDIC.GRAV)
1/1/2004,6:00:00,56,V ugm-3,0,V ugm-3,21,V ugm-3,21,V ugm-3,0,V ugm-3,0.1,V mgm-3,14,V ugm-3 (INDIC.GRAV)
1/1/2004,7:00:00,56,V ugm-3,0,V ugm-3,17,V ugm-3,17,V ugm-3,0,V ugm-3,0.1,V mgm-3,22,V ugm-3 (INDIC.GRAV)
1/1/2004,8:00:00,50,V ugm-3,0,V ugm-3,21,V ugm-3,21,V ugm-3,0,V ugm-3,0.1,V mgm-3,26,V ugm-3 (INDIC.GRAV)
1/1/2004,9:00:00,54,V ugm-3,0,V ugm-3,21,V ugm-3,21,V ugm-3,0,V ugm-3,0.2,V mgm-3,26,V ugm-3 (INDIC.GRAV)
1/1/2004,10:00:00,58,V ugm-3,3,V ugm-3,15,V ugm-3,19,V ugm-3,0,V ugm-3,0.1,V mgm-3,13,V ugm-3 (INDIC.GRAV)
1/1/2004,11:00:00,60,V ugm-3,3,V ugm-3,19,V ugm-3,23,V ugm-3,3,V ugm-3,0.1,V mgm-3,9,V ugm-3 (INDIC.GRAV)
1/1/2004,12:00:00,64,V ugm-3,4,V ugm-3,15,V ugm-3,21,V ugm-3,3,V ugm-3,0.1,V mgm-3,13,V ugm-3 (INDIC.GRAV)
1/1/2004,13:00:00,62,V ugm-3,4,V ugm-3,19,V ugm-3,25,V ugm-3,3,V ugm-3,0.1,V mgm-3,10,V ugm-3 (INDIC.GRAV)
1/1/2004,14:00:00,68,V ugm-3,4,V ugm-3,13,V ugm-3,19,V ugm-3,0,V ugm-3,0.2,V mgm-3,9,V ugm-3 (INDIC.GRAV)
1/1/2004,15:00:00,64,V ugm-3,4,V ugm-3,15,V ugm-3,21,V ugm-3,0,V ugm-3,0.2,V mgm-3,14,V ugm-3 (INDIC.GRAV)
1/1/2004,16:00:00,64,V ugm-3,4,V ugm-3,13,V ugm-3,19,V ugm-3,0,V ugm-3,0.2,V mgm-3,14,V ugm-3 (INDIC.GRAV)
1/1/2004,17:00:00,56,V ugm-3,5,V ugm-3,23,V ugm-3,31,V ugm-3,0,V ugm-3,0.2,V mgm-3,13,V ugm-3 (INDIC.GRAV)
1/1/2004,18:00:00,64,V ugm-3,3,V ugm-3,13,V ugm-3,17,V ugm-3,0,V ugm-3,0.1,V mgm-3,12,V ugm-3 (INDIC.GRAV)
1/1/2004,19:00:00,64,V ugm-3,3,V ugm-3,13,V ugm-3,17,V ugm-3,0,V ugm-3,0.1,V mgm-3,12,V ugm-3 (INDIC.GRAV)
1/1/2004,20:00:00,62,V ugm-3,3,V ugm-3,13,V ugm-3,17,V ugm-3,0,V ugm-3,0.1,V mgm-3,12,V ugm-3 (INDIC.GRAV)
1/1/2004,21:00:00,62,V ugm-3,3,V ugm-3,13,V ugm-3,17,V ugm-3,0,V ugm-3,0.1,V mgm-3,10,V ugm-3 (INDIC.GRAV)
1/1/2004,22:00:00,64,V ugm-3,0,V ugm-3,10,V ugm-3,10,V ugm-3,0,V ugm-3,0.1,V mgm-3,12,V ugm-3 (INDIC.GRAV)
1/1/2004,23:00:00,64,V ugm-3,1,V ugm-3,6,V ugm-3,8,V ugm-3,0,V ugm-3,0.1,V mgm-3,10,V ugm-3 (INDIC.GRAV)
1/1/2004,24:00:00,64,V ugm-3,1,V ugm-3,6,V ugm-3,8,V ugm-3,0,V ugm-3,0.1,V mgm-3,12,V ugm-3 (INDIC.GRAV)
1/2/2004,1:00:00,66,V ugm-3,0,V ugm-3,6,V ugm-3,6,V ugm-3,3,V ugm-3,0.1,V mgm-3,5,V ugm-3 (INDIC.GRAV)
1/2/2004,2:00:00,68,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,0,V ugm-3,0.1,V mgm-3,10,V ugm-3 (INDIC.GRAV)
1/2/2004,3:00:00,68,V ugm-3,1,V ugm-3,8,V ugm-3,10,V ugm-3,0,V ugm-3,0.1,V mgm-3,8,V ugm-3 (INDIC.GRAV)
1/2/2004,4:00:00,72,V ugm-3,1,V ugm-3,6,V ugm-3,8,V ugm-3,0,V ugm-3,No data,V mgm-3,13,V ugm-3 (INDIC.GRAV)
1/2/2004,5:00:00,64,V ugm-3,10,V ugm-3,15,V ugm-3,31,V ugm-3,0,V ugm-3,0.1,V mgm-3,12,V ugm-3 (INDIC.GRAV)
1/2/2004,6:00:00,58,V ugm-3,8,V ugm-3,15,V ugm-3,27,V ugm-3,0,V ugm-3,0.1,V mgm-3,13,V ugm-3 (INDIC.GRAV)
