Hourly measurement data supplied by UK-air on 08/02/2024,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,
Site Name,,Bristol Temple Way,,,,,,,,,,,,,
Latitude,,51.457968,,,,,,,,,,,,,
Longitude,,-2.583975,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,
Zone,,South West,,,,,,,,,,,,,
Agglomeration,,Bristol Urban Area,,,,,,,,,,,,,
Local Authority,,Bristol,,,,,,,,,,,,,
Date,Time,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
1/1/2023,1:00:00,10.8862,V ugm-3,33.59538,V ugm-3,50.28731,V ugm-3,17.392,V ugm-3 (Ref.eq),227.3,N deg,7,N ms-1,7.6,N degC
1/1/2023,2:00:00,17.7209,V ugm-3,37.83775,V ugm-3,65.00941,V ugm-3,12.561,V ugm-3 (Ref.eq),215.8,N deg,6,N ms-1,7.2,N degC
1/1/2023,3:00:00,24.57321,V ugm-3,47.13197,V ugm-3,84.81037,V ugm-3,16.425,V ugm-3 (Ref.eq),213,N deg,6.1,N ms-1,6.9,N degC
1/1/2023,4:00:00,21.50817,V ugm-3,43.36248,V ugm-3,76.34121,V ugm-3,14.493,V ugm-3 (Ref.eq),217.1,N deg,6.6,N ms-1,6.8,N degC
1/1/2023,5:00:00,12.07522,V ugm-3,33.80377,V ugm-3,52.31886,V ugm-3,14.493,V ugm-3 (Ref.eq),217.2,N deg,6.8,N ms-1,6.9,N degC
1/1/2023,6:00:00,16.40857,V ugm-3,38.00311,V ugm-3,63.16255,V ugm-3,10.628,V ugm-3 (Ref.eq),212.9,N deg,6.1,N ms-1,6.7,N degC
1/1/2023,7:00:00,13.87197,V ugm-3,31.56328,V ugm-3,52.83334,V ugm-3,13.527,V ugm-3 (Ref.eq),211.2,N deg,6.1,N ms-1,6.7,N degC
1/1/2023,8:00:00,16.09149,V ugm-3,40.42848,V ugm-3,65.10175,V ugm-3,12.561,V ugm-3 (Ref.eq),213,N deg,6.4,N ms-1,6.7,N degC
1/1/2023,9:00:00,24.66129,V ugm-3,46.66713,V ugm-3,84.48058,V ugm-3,20.29,V ugm-3 (Ref.eq),210.7,N deg,6.7,N ms-1,6.9,N degC
1/1/2023,10:00:00,21.4289,V ugm-3,38.1809,V ugm-3,71.03809,V ugm-3,14.493,V ugm-3 (Ref.eq),212.3,N deg,6.8,N ms-1,7.4,N degC
1/1/2023,11:00:00,15.061,V ugm-3,33.4998,V ugm-3,56.59302,V ugm-3,20.29,V ugm-3 (Ref.eq),213.5,N deg,6.8,N ms-1,7.8,N degC
1/1/2023,12:00:00,8.71953,V ugm-3,30.36121,V ugm-3,43.73097,V ugm-3,22.223,V ugm-3 (Ref.eq),213,N deg,6.5,N ms-1,8.3,N degC
1/1/2023,13:00:00,26.89842,V ugm-3,46.93063,V ugm-3,88.17429,V ugm-3,26.087,V ugm-3 (Ref.eq),209.9,N deg,6.2,N ms-1,8.4,N degC
1/1/2023,14:00:00,31.86591,V ugm-3,49.56398,V ugm-3,98.42436,V ugm-3,25.121,V ugm-3 (Ref.eq),213.1,N deg,5.9,N ms-1,8.4,N degC
1/1/2023,15:00:00,36.56917,V ugm-3,54.10635,V ugm-3,110.17829,V ugm-3,32.851,V ugm-3 (Ref.eq),216.6,N deg,5.7,N ms-1,8.1,N degC
1/1/2023,16:00:00,41.11389,V ugm-3,56.24024,V ugm-3,119.28066,V ugm-3,24.155,V ugm-3 (Ref.eq),212.9,N deg,5.6,N ms-1,7.7,N degC
1/1/2023,17:00:00,24.91671,V ugm-3,43.36009,V ugm-3,81.56518,V ugm-3,14.493,V ugm-3 (Ref.eq),213.9,N deg,5.8,N ms-1,7.4,N degC
1/1/2023,18:00:00,20.60979,V ugm-3,42.84034,V ugm-3,74.44158,V ugm-3,3.865,V ugm-3 (Ref.eq),220,N deg,5.9,N ms-1,7.2,N degC
1/1/2023,19:00:00,16.9106,V ugm-3,44.62077,V ugm-3,70.54999,V ugm-3,6.763,V ugm-3 (Ref.eq),219.8,N deg,5.5,N ms-1,7,N degC
1/1/2023,20:00:00,13.68702,V ugm-3,39.80156,V ugm-3,60.78802,V ugm-3,5.797,V ugm-3 (Ref.eq),221.2,N deg,5.4,N ms-1,6.8,N degC
1/1/2023,21:00:00,14.69108,V ugm-3,38.42031,V ugm-3,60.94632,V ugm-3,2.899,V ugm-3 (Ref.eq),224.8,N deg,6.1,N ms-1,7.5,N degC
1/1/2023,22:00:00,22.935,V ugm-3,43.15348,V ugm-3,78.31999,V ugm-3,2.899,V ugm-3 (Ref.eq),222.9,N deg,5.5,N ms-1,7.3,N degC
1/1/2023,23:00:00,23.93907,V ugm-3,45.92766,V ugm-3,82.63372,V ugm-3,7.73,V ugm-3 (Ref.eq),225,N deg,5.4,N ms-1,6.7,N degC
1/1/2023,24:00:00,22.19516,V ugm-3,45.35642,V ugm-3,79.38852,V ugm-3,5.797,V ugm-3 (Ref.eq),225.4,N deg,4.4,N ms-1,6.2,N degC
1/2/2023,1:00:00,13.04057,V ugm-3,39.08487,V ugm-3,59.08013,V ugm-3,3.865,V ugm-3 (Ref.eq),219.5,N deg,4.4,N ms-1,5.9,N degC
1/2/2023,2:00:00,18.18631,V ugm-3,47.87879,V ugm-3,75.76407,V ugm-3,4.831,V ugm-3 (Ref.eq),220.7,N deg,4.3,N ms-1,5.5,N degC
1/2/2023,3:00:00,9.80686,V ugm-3,32.59935,V ugm-3,47.63633,V ugm-3,3.865,V ugm-3 (Ref.eq),223.5,N deg,4.3,N ms-1,5.1,N degC
1/2/2023,4:00:00,1.48028,V ugm-3,9.41166,V ugm-3,11.68139,V ugm-3,5.797,V ugm-3 (Ref.eq),239.4,N deg,3.9,N ms-1,4.7,N degC
1/2/2023,5:00:00,1.05734,V ugm-3,4.66164,V ugm-3,6.28287,V ugm-3,5.797,V ugm-3 (Ref.eq),248.4,N deg,3.7,N ms-1,4.3,N degC
